EventDate,EventName,Category,Description,ExpectedPriceImpactDirection,UncertaintyFlag,ApproximateDate,ContestedAttribution,DataProvenance,ChangePointProximity
1990-08-02,Iraqi Invasion of Kuwait,Geopolitical Conflict,"Iraq invaded Kuwait triggering the Gulf War. Immediate supply disruption fears sent oil prices spiking from ~$17 to $46/barrel within weeks.",Positive (spike),Low,No,No,Official US DoD / UN Security Council records; exact date confirmed,Near (within 30 days of model CP)
1991-01-17,Gulf War Air Campaign Begins,Geopolitical Conflict,"Coalition forces launched Operation Desert Storm. Prices initially surged then fell as the war was brief and supply disruptions were contained.",Negative (reversal),Low,No,No,US DoD; confirmed date 17 Jan 1991,Near (within 30 days of model CP)
1997-07-02,Asian Financial Crisis Onset,Economic Shock,"Thai baht devalued triggering the Asian Financial Crisis. Demand for oil collapsed across Southeast Asia pushing Brent from ~$19 to below $10 by end 1998.",Negative (demand collapse),Medium,Yes,Yes,"Crisis onset conventionally dated 2 Jul 1997 (baht float). Some analysts use the broader Jul–Aug 1997 window. Attribution as primary cause is contested – coincident USD strengthening also significant.",Within 90 days of model CP
1999-03-23,OPEC Vienna Production Cuts,OPEC Policy,"OPEC and non-OPEC producers agreed to cut output by 2.1 million bpd at the Vienna meeting. This stabilised the market and began a multi-year recovery above $20/barrel.",Positive (recovery),Low,No,No,OPEC official communiqué 23 Mar 1999,Near (within 30 days of model CP)
2001-09-11,September 11 Terrorist Attacks,Geopolitical Shock,"Al-Qaeda attacks on the US created deep uncertainty. Oil briefly spiked then fell as recession fears dominated demand outlook. Prices remained subdued through 2002.",Mixed,Low,No,No,Confirmed historical record,Near (within 30 days of model CP)
2003-03-20,US-Led Invasion of Iraq,Geopolitical Conflict,"Coalition forces invaded Iraq. Supply fears had already lifted prices during the military build-up. Post-invasion prices remained elevated due to insurgency disrupting Iraqi output.",Positive (sustained),Low,No,No,US DoD; confirmed 20 Mar 2003,Near (within 30 days of model CP)
2004-01-01,Chinese Demand Surge Begins,Demand Shock,"China's rapid industrialisation drove unprecedented global oil demand growth from 2004 onward, underpinning the commodity supercycle and sustained multi-year price rise.",Positive (sustained),High,Yes,Yes,"Date is approximate – Jan 2004 is a conventional annual boundary used by IEA to mark the breakout year for Chinese demand. The actual inflection in the data spans 2003–2005. Attribution to China alone is contested; India and Middle Eastern demand also contributed.",Within 90 days of model CP
2005-08-29,Hurricane Katrina,Natural Disaster / Supply Shock,"Category 5 hurricane made landfall on the US Gulf Coast, shutting in ~1.5 million bpd and causing refinery damage. US strategic reserves were released for the first time since Gulf War.",Positive (spike),Low,No,No,NOAA / US National Hurricane Center; confirmed 29 Aug 2005,Near (within 30 days of model CP)
2007-01-01,US Subprime Mortgage Market Stress Begins,Economic Shock,"Delinquencies in US subprime mortgages began rising sharply. Though the full market crisis did not erupt until mid-2007, this period marked the beginning of the credit deterioration that would eventually trigger the GFC.",Negative (lagged),High,Yes,Yes,"Date approximate – stress was building throughout 2006–Q1 2007. No single event date; Jan 2007 is a model convenience anchor. Attribution as a discrete oil price driver at this date is contested.",Not directly linked to model CP
2008-07-11,All-Time High – $147.50/barrel,Market Peak,"Brent crude reached its historical intraday peak of $147.50, driven by peak demand, speculative commodity index flows, a weak USD, and tight OPEC spare capacity.",Peak,Low,No,No,ICE Brent spot data; confirmed 11 Jul 2008,Model CP identified nearby
