EventDate,EventName,Category,Description,ExpectedPriceEffect
1990-08-02,Iraqi Invasion of Kuwait,Geopolitical Conflict,Iraq invaded Kuwait triggering the Gulf War. Immediate supply disruption fears sent oil prices spiking from ~$17 to $46/barrel within weeks.,Positive (spike)
1991-01-17,Gulf War Air Campaign Begins,Geopolitical Conflict,Coalition forces launched Operation Desert Storm. Prices initially surged then fell as the war was brief and supply disruptions were contained.,Negative (reversal)
1997-07-02,Asian Financial Crisis Onset,Economic Shock,Thai baht devalued triggering the Asian Financial Crisis. Demand for oil collapsed across Southeast Asia pushing Brent from ~$19 to below $10 by end 1998.,Negative (demand collapse)
1999-03-23,OPEC Vienna Production Cuts,OPEC Policy,OPEC and non-OPEC producers agreed to cut output by 2.1 million bpd. This stabilised the market and began a multi-year recovery above $20/barrel.,Positive (recovery)
2001-09-11,September 11 Terrorist Attacks,Geopolitical Shock,Al-Qaeda attacks on the US created deep uncertainty. Oil briefly spiked then fell as recession fears dominated. Prices remained subdued through 2002.,Mixed
2003-03-20,US-Led Invasion of Iraq,Geopolitical Conflict,Coalition forces invaded Iraq. Supply fears had already lifted prices during the build-up. Post-invasion prices remained elevated due to insurgency disrupting Iraqi output.,Positive (sustained)
2004-01-01,Chinese Demand Surge Begins,Demand Shock,"China's rapid industrialisation drove unprecedented global oil demand growth from 2004 onward, underpinning the commodity supercycle and sustained price rise.",Positive (sustained)
2008-07-11,All-Time High – $147.50/barrel,Market Peak,"Brent crude reached its historical peak of $147.50 driven by peak demand, speculative flows, a weak USD, and tight OPEC spare capacity.",Peak
2008-09-15,Lehman Brothers Collapse,Economic Shock,"Lehman Brothers filed for bankruptcy, triggering the Global Financial Crisis. Brent crashed from $147 to under $40 by December 2008 – the largest single-year collapse on record.",Negative (crash)
2009-12-22,OPEC Maintains 2008 Production Cuts,OPEC Policy,"OPEC extended production cuts agreed in late 2008. Combined with global stimulus packages, this began a sustained recovery throughout 2009.",Positive (floor)
2010-12-17,Arab Spring Begins (Tunisia),Geopolitical Conflict,"Mohamed Bouazizi's self-immolation triggered the Arab Spring. Spread to Libya in 2011, directly disrupting ~1.5 million bpd of Libyan output and pushing Brent above $120.",Positive (spike)
2011-02-15,Libyan Civil War & NATO Intervention,Geopolitical Conflict,Libya's civil war effectively halted the country's oil exports. Brent rose from ~$100 to a $126 peak in April 2011 before recovering with Saudi Arabia pledging additional supply.,Positive (spike)
2014-11-27,OPEC Vienna No-Cut Decision,OPEC Policy,"OPEC, led by Saudi Arabia, decided not to cut production despite a global supply glut and falling prices. Brent collapsed from ~$85 to below $50 over the following months.",Negative (collapse)
2016-01-16,Iran Sanctions Lifted (JCPOA),Sanctions/Diplomacy,Iran returned to the oil market after international sanctions were lifted following the JCPOA nuclear deal. Added ~1 million bpd of Iranian crude to global supply.,Negative (supply increase)
2016-11-30,First OPEC+ Production Cut Agreement,OPEC Policy,OPEC and Russia agreed to cut output by 1.8 million bpd in the first major OPEC+ deal. Prices rose from ~$45 to above $55/barrel within weeks.,Positive (recovery)
2018-11-05,US Sanctions on Iran Reimposed,Sanctions/Diplomacy,Trump administration reimposed sanctions on Iran after withdrawing from the JCPOA. Reduced Iranian exports contributed to Brent rising above $80 in late 2018.,Positive (supply reduction)
2019-09-14,Saudi Aramco Facility Attack,Geopolitical Conflict,Drone attack on Abqaiq and Khurais temporarily knocked out ~5% of global oil supply. Brent spiked over 15% in a single day before recovering as Saudi production was restored.,Positive (spike)
2020-03-08,Saudi Arabia–Russia Oil Price War,OPEC Policy,"Talks between Saudi Arabia and Russia collapsed. Saudi Arabia slashed prices and pledged to flood the market. Combined with COVID-19 demand collapse, Brent fell to 20-year lows.",Negative (crash)
2020-04-12,Historic OPEC+ Output Cut (9.7 mbpd),OPEC Policy,OPEC+ agreed to the largest ever production cut of 9.7 million bpd. This put a floor under prices and began the recovery as demand gradually returned.,Positive (floor/recovery)
2020-04-20,WTI Futures Go Negative,Market Anomaly,"WTI May futures briefly turned negative (-$37.63) as storage capacity neared limits. While Brent did not go negative, it fell below $20/barrel – the lowest since 2002.",Negative (historic low)
2021-01-01,COVID Vaccine Rollouts Begin,Demand Shock,"Mass vaccination programmes began globally, fuelling expectations of demand recovery. Brent rose steadily from ~$50 to $70 by mid-2021.",Positive (demand recovery)
2022-02-24,Russia Invades Ukraine,Geopolitical Conflict,Russia's full-scale invasion of Ukraine triggered sweeping Western sanctions on Russian energy. Brent surged above $130 in March 2022 – the highest since 2008.,Positive (spike)
